Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Isolation,0.007,0,0
Offensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Post-Up,0.255,0.872,0.469
Offensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,P&R Roll Man,0.124,0.842,0.353
Offensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Miscellaneous,0.059,0.889,0.333
Offensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Cut,0.222,0.941,0.469
Offensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Hand Off,0.007,0,0
Offensive,Weakness,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Isolation,0.083,0,
Offensive,Weakness,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Post-Up,0.083,0,0
Offensive,Weakness,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Transition,0.083,0,
Offensive,Weakness,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,P&R Ball Handler,0.083,0,0
Offensive,Weakness,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Miscellaneous,0.083,0,
Offensive,Weakness,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Spot Up,0.167,0,0
Offensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Offensive Rebounds (put backs),0.051,0,0
Offensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Miscellaneous,0.051,0,
Offensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Hand Off,0.034,0,0
Offensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.712,P&R Ball Handler,0.085,0.4,0.333
Offensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Spot Up,0.373,0.591,0.211
Offensive,Weakness,Carthage,32,Tj_Best,1.25,7.6875,0.667,Spot Up,0.333,0.6,0.2
Offensive,Weakness,Carthage,32,Tj_Best,1.25,7.6875,0.667,Isolation,0.033,0,0
Offensive,Weakness,Carthage,32,Tj_Best,1.25,7.6875,0.667,P&R Ball Handler,0.3,0.556,0.4
Offensive,Weakness,Carthage,32,Tj_Best,1.25,7.6875,0.667,Off Screen,0.067,0,0
Offensive,Weakness,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Miscellaneous,0.035,0.533,0.333
Offensive,Weakness,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Hand Off,0.018,0.5,0.167
Offensive,Weakness,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Post-Up,0.281,0.795,0.367
Offensive,Weakness,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Spot Up,0.168,0.712,0.34
Offensive,Weakness,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Off Screen,0.048,0.619,0.3
Offensive,Weakness,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,P&R Roll Man,0.009,0,0
Offensive,Weakness,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Spot Up,0.272,0.968,0.323
Offensive,Weakness,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Isolation,0.009,0,0
Offensive,Weakness,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Miscellaneous,0.105,0.167,1
Offensive,Weakness,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,P&R Ball Handler,0.009,0,0
Offensive,Weakness,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Miscellaneous,0.139,0,
Offensive,Weakness,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Cut,0.194,0.286,0
