team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,4,Austin_Thompson,0.4,2.6,0.667,Transition,0.333,2,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Transition,0.211,1.15,0.444
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Spot Up,0.4,0.974,0.361
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Isolation,0.032,1.333,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Transition,0.103,0.895,0.429
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,P&R Ball Handler,0.011,1.5,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Spot Up,0.272,0.9,0.311
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Offensive Rebounds (put backs),0.049,1.222,0.625
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Cut,0.141,1.077,0.545
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Isolation,0.076,0.786,0.364
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,1,Adam_Davis,3,11.61111111,0.841,Transition,0.072,1,0.4
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,1,Adam_Davis,3,11.61111111,0.841,Post-Up,0.101,1.143,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,1,Adam_Davis,3,11.61111111,0.841,Offensive Rebounds (put backs),0.116,1.5,0.8
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Miscellaneous,0.046,0.714,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Post-Up,0.562,0.919,0.615
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,16,Ryan_Lowe,7.173913043,14.39130435,1.078,P&R Roll Man,0.013,1,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,15,Robert_Ryan,3.56,18.04,0.659,Miscellaneous,0.136,0.167,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,15,Robert_Ryan,3.56,18.04,0.659,Isolation,0.083,0.091,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,15,Robert_Ryan,3.56,18.04,0.659,P&R Ball Handler,0.076,0.3,0
