Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Defensive,Weakness,Carthage,27,Kamal_Shasi,5,26.38888889,0.871,Spot Up,0.324,1.044,0.459
Defensive,Weakness,Carthage,27,Kamal_Shasi,5,26.38888889,0.871,Off Screen,0.101,1,0.364
Defensive,Weakness,Fontbonne,110,Kalin_Mitchell,0.333333333,5.666666667,1.111,Off Screen,0.111,2,1
Defensive,Weakness,Kalamazoo,224,KaLeif_Gaines,3.166666667,10.33333333,0.556,Post-Up,0.167,0.667,1
Defensive,Weakness,Kalamazoo,224,KaLeif_Gaines,3.166666667,10.33333333,0.556,Hand Off,0.056,1.5,0.5
Defensive,Weakness,Kalamazoo,224,KaLeif_Gaines,3.166666667,10.33333333,0.556,Spot Up,0.306,1,0.4
Defensive,Weakness,Albion,10,Juwan_Perry,5,11.92857143,0.786,Spot Up,0.429,1,0.5
Defensive,Weakness,Albion,10,Juwan_Perry,5,11.92857143,0.786,Hand Off,0.071,1.5,0.5
Defensive,Weakness,Albion,10,Juwan_Perry,5,11.92857143,0.786,Post-Up,0.071,1,
Defensive,Weakness,UWPlatteville,263,Justin_Stovall,3.157894737,8.315789474,1.118,P&R Roll Man,0.039,3,1
Defensive,Weakness,UWPlatteville,263,Justin_Stovall,3.157894737,8.315789474,1.118,Isolation,0.078,1.75,1
Defensive,Weakness,UWPlatteville,262,Justin_Jarvensivu,0.272727273,2.727272727,1.3,P&R Ball Handler,0.1,2,1
Defensive,Weakness,UWPlatteville,262,Justin_Jarvensivu,0.272727273,2.727272727,1.3,P&R Roll Man,0.1,3,1
Defensive,Weakness,UWPlatteville,262,Justin_Jarvensivu,0.272727273,2.727272727,1.3,Isolation,0.2,1.5,1
Defensive,Weakness,Chicago,41,Justin_Jackson,6.08,15.08,0.971,Post-Up,0.232,1,0.533
Defensive,Weakness,Chicago,41,Justin_Jackson,6.08,15.08,0.971,P&R Roll Man,0.072,1.6,0.6
Defensive,Weakness,Chicago,41,Justin_Jackson,6.08,15.08,0.971,Off Screen,0.159,1.364,0.5
Defensive,Weakness,Rose-Hulman,290,JT_Whitaker,1.318181818,4.909090909,0.409,Post-Up,0.409,0.444,0.25
Defensive,Weakness,Rose-Hulman,290,JT_Whitaker,1.318181818,4.909090909,0.409,P&R Ball Handler,0.045,3,1
Defensive,Weakness,MoodyBible,144,Joshua_Wedeven,17.6,20.4,1.037,Post-Up,0.296,1.25,0.667
Defensive,Weakness,Rose-Hulman,289,Joshua_Richey,0.333333333,2.333333333,0.667,Post-Up,0.333,2,1
Defensive,Weakness,Roosevelt,175,Joshua_Dillingham,8.714285714,19.85714286,0.667,Post-Up,0.333,0.897,0.517
Defensive,Weakness,Roosevelt,175,Joshua_Dillingham,8.714285714,19.85714286,0.667,Hand Off,0.06,0.714,0.5
Defensive,Weakness,Roosevelt,175,Joshua_Dillingham,8.714285714,19.85714286,0.667,Off Screen,0.017,1.5,0.5
Defensive,Weakness,Roosevelt,175,Joshua_Dillingham,8.714285714,19.85714286,0.667,P&R Ball Handler,0.06,1,0.5
Defensive,Weakness,NorthPark,242,Josh_Washburn,3.75,14,1.407,Post-Up,0.037,2,1
Defensive,Weakness,NorthPark,242,Josh_Washburn,3.75,14,1.407,Off Screen,0.148,2.25,1
Defensive,Weakness,MSOE,158,Josh_Herzog,1.4,5.2,0.955,Isolation,0.182,1,1
Defensive,Weakness,MSOE,158,Josh_Herzog,1.4,5.2,0.955,Off Screen,0.045,2,1
