Team_Cumulative_ID,Team_ID,Player_ID,GP,Min,SST,SSTexPts ,Pts , Ast ,Turnover,Ast_To_Ratio,Stl,  StlPos ,  Blk,  TtlReb ,  OffReb ,  DefReb,Field_Goals_Attempt,Field_Goals_Made,Field_Goals_Missed,Field_Goal_Percentage,Adjusted_Field_Goal_Percentage,Two_Field_Goals_Attempt,Two_Field_Goals_Made,Two_Field_Goals_Missed,Two_Field_Goal_Percentage,Three_Field_Goals_Attempt,Three_Field_Goals_Made,Three_Field_Goals_Missed,Three_Field_Goal_Percentage,Free_Throw_Attempts,Free_Throw_Made,Free_Throw_Missed,Free_Throw_Percentage,And_One,Personal_Fouls_Taken,Total_Personal_Fouls_Commited
404,23,370,24,355,0.7,0.16,124,10,10,1,7,5,0,38,5,33,90,42,48,0.467,0.611,34,16,18,0.471,56,26,30,0.464,17,14,3,0.824,1,14,34
405,23,368,22,238,0.7,0.2,70,18,21,0.86,11,10,2,23,4,19,49,26,23,0.531,0.612,27,18,9,0.667,22,8,14,0.364,11,10,1,0.909,1,10,16
406,23,358,6,181,0.75,0.18,60,11,16,0.69,6,9,0,26,4,22,60,20,40,0.333,0.367,32,16,16,0.5,28,4,24,0.143,23,16,7,0.696,2,18,8
407,23,365,14,51,0.27,0.14,6,3,2,1.5,0,0,0,4,1,3,8,2,6,0.25,0.312,3,1,2,0.333,5,1,4,0.2,2,1,1,0.5,0,1,1
408,23,356,23,152,0.86,0.16,47,4,11,0.36,3,4,1,27,4,23,29,15,14,0.517,0.517,28,15,13,0.536,1,0,1,0,27,17,10,0.63,2,16,15
409,23,369,25,660,0.81,0.23,270,24,21,1.14,12,12,3,92,23,69,237,92,145,0.388,0.508,79,35,44,0.443,158,57,101,0.361,36,29,7,0.806,5,25,35
410,23,361,25,717,1.14,0.39,302,111,87,1.28,28,40,5,135,32,103,238,116,122,0.487,0.502,212,109,103,0.514,26,7,19,0.269,89,63,26,0.708,7,86,68
411,23,360,16,66,0.38,0.15,8,1,4,0.25,3,2,0,10,0,10,6,2,4,0.333,0.5,0,0,0,-,6,2,4,0.333,2,2,0,1,0,1,7
412,23,362,9,49,0.57,0.27,10,1,1,1,0,0,0,10,3,7,11,3,8,0.273,0.364,4,1,3,0.25,7,2,5,0.286,2,2,0,1,0,1,2
413,23,357,20,216,0.97,0.43,63,33,24,1.38,11,7,4,31,14,17,39,26,13,0.667,0.667,39,26,13,0.667,0,0,0,-,16,11,5,0.688,1,13,35
415,23,359,25,342,1.39,0.39,152,15,13,1.15,17,8,0,76,21,55,93,51,42,0.548,0.548,93,51,42,0.548,0,0,0,-,66,50,16,0.758,5,39,22
416,23,367,19,309,0.78,0.2,122,16,26,0.62,9,13,2,50,11,39,101,52,49,0.515,0.525,91,50,41,0.55,10,2,8,0.2,36,16,20,0.444,2,30,38
420,23,371,5,16,0.13,-0.19,3,1,3,0.33,0,0,0,1,0,1,3,1,2,0.333,0.333,3,1,2,0.333,0,0,0,-,2,1,1,0.5,0,1,5
421,23,364,25,527,0.65,0.25,122,17,18,0.94,13,3,1,80,24,56,90,43,47,0.478,0.539,63,32,31,0.508,27,11,16,0.407,44,25,19,0.568,5,39,59
423,23,372,25,502,1.12,0.21,244,24,46,0.52,13,13,15,75,20,55,184,91,93,0.495,0.511,163,85,78,0.522,21,6,15,0.286,73,56,17,0.767,11,61,59
424,24,373,26,845,1.4,0.3,565,134,89,1.51,26,37,3,93,14,79,458,197,261,0.43,0.511,246,123,123,0.5,212,74,138,0.349,126,97,29,0.77,11,140,63
426,24,385,8,7,0.46,0.14,2,0,0,-,0,1,0,1,0,1,2,1,1,0.5,0.5,2,1,1,0.5,0,0,0,-,0,0,0,-,0,1,0
427,24,374,3,15,0.72,0.27,2,0,0,-,0,0,0,4,0,4,1,0,1,0,0,1,0,1,0,0,0,0,-,4,2,2,0.5,0,2,2
429,24,387,20,129,0.51,0.22,20,11,7,1.57,2,5,1,12,3,9,21,5,16,0.238,0.31,3,2,1,0.667,18,3,15,0.167,10,7,3,0.7,0,9,19
430,24,377,7,20,0.77,0.15,6,1,4,0.25,3,3,0,3,0,3,5,2,3,0.4,0.4,2,2,0,1,3,0,3,0,3,2,1,0.667,0,2,3
431,24,379,11,198,0.72,0.27,38,4,11,0.36,4,3,6,34,13,21,23,12,11,0.522,0.522,23,12,11,0.522,0,0,0,-,18,14,4,0.778,3,16,25
432,24,386,1,18,0.63,-0.06,4,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,-,2,2,0,1,0,1,1
433,24,381,11,29,0.56,0.31,8,1,3,0.33,0,0,1,8,3,5,7,4,3,0.571,0.571,7,4,3,0.571,0,0,0,-,3,0,3,0,0,3,3
435,24,388,4,4,1.53,0.75,2,0,0,-,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,-,0,0,0,-,0,0,0
436,24,383,26,795,1.11,0.44,278,89,66,1.35,31,38,35,146,24,122,203,93,110,0.458,0.51,135,72,63,0.533,68,21,47,0.309,102,71,31,0.696,9,89,46
438,24,375,18,105,0.22,0.11,12,5,6,0.83,1,2,0,9,3,6,13,5,8,0.385,0.462,6,3,3,0.5,7,2,5,0.286,1,0,1,0,0,1,10
439,24,389,26,530,0.65,0.27,133,22,10,2.2,10,3,2,68,28,40,113,50,63,0.442,0.518,66,33,33,0.5,47,17,30,0.362,17,16,1,0.941,3,15,32
440,24,380,26,602,1.65,0.45,404,31,31,1,6,21,11,197,40,157,280,141,139,0.504,0.589,162,93,69,0.574,118,48,70,0.407,96,74,22,0.771,11,70,55
441,24,382,26,673,0.68,0.23,171,56,38,1.47,24,22,0,61,11,50,122,53,69,0.434,0.57,52,20,32,0.385,70,33,37,0.471,39,32,7,0.82,2,25,39
442,24,378,25,210,0.65,0.38,38,5,5,1,5,3,6,44,14,30,39,15,24,0.385,0.397,34,14,20,0.412,5,1,4,0.2,11,7,4,0.636,1,12,40
443,24,376,26,611,1.29,0.5,286,23,34,0.68,7,12,33,189,56,133,198,123,75,0.621,0.626,188,121,67,0.644,10,2,8,0.2,52,38,14,0.731,11,40,87
444,24,384,10,25,1.35,0.96,9,2,2,1,0,1,2,14,6,8,9,3,6,0.333,0.444,2,1,1,0.5,7,2,5,0.286,4,1,3,0.25,0,2,4
