"team_name","player_name","gp"
"Kalamazoo","Ben_Reiter",25
"Kalamazoo","Brennen_Buszka",22
"Kalamazoo","Charlie_Carson",17
"Kalamazoo","Dan_Black",13
"Kalamazoo","Jack_Smith",25
"Kalamazoo","Jarnard_Smith",16
"Kalamazoo","Jeremiah_Vincent",13
"Kalamazoo","Jimmy_Paprocki",25
"Kalamazoo","Jordan_Currie",16
"Kalamazoo","KaLeif_Gaines",12
"Kalamazoo","Merritt_Hamann",23
"Kalamazoo","Owen_Jozefowicz",6
"Kalamazoo","Roger_Hood",25
"Kalamazoo","Tanner_Blyly",25
"Kalamazoo","Thomas_Cook",16
"NorthPark","Aaron_Reed",26
"NorthPark","Antonio_Gardner",20
"NorthPark","Billy_Kirby",26
"NorthPark","Colin_Lake",26
"NorthPark","Dyron_Woods",20
"NorthPark","Isaiah_Webster",9
"NorthPark","Jack_Gurvey",25
"NorthPark","Jarrod_Coleman",11
"NorthPark","Jason_Hines",23
"NorthPark","Josh_Washburn",8
"NorthPark","Matt_Mohr",13
"NorthPark","Matt_Szuba",25
"NorthPark","Quinn_Williams",10
"NorthPark","Scott_Olsen",22
"NorthPark","Toby_Marek",16
"NorthPark","Vegard_Tangen",23
"UWPlatteville","Alex_Ranney",29
"UWPlatteville","Carter_Voelker",29
"UWPlatteville","Clay_Gerds",29
"UWPlatteville","Cole_Hake",10
"UWPlatteville","Colin_Connelly",21
"UWPlatteville","Colin_Kramper",15
"UWPlatteville","Dan_Lowe",21
"UWPlatteville","Drew_Gunnink",13
"UWPlatteville","Grayson_Knowlton",11
"UWPlatteville","Harold_Fay",15
"UWPlatteville","Jake_Showalter",28
"UWPlatteville","Justin_Jarvensivu",11
"UWPlatteville","Justin_Stovall",19
"UWPlatteville","Nathan_Cokenour",11
"UWPlatteville","Quentin_Shields",29
"UWPlatteville","Robert_Duax",29
"UWPlatteville","Tanner_Hudziak",14
"OlivetCollege","Aaron_Washington",25
"OlivetCollege","Angus_Bennett",28
"OlivetCollege","Blake_Siersma",28
"OlivetCollege","Brent_Davis",7
"OlivetCollege","Chase_Brocker",28
"OlivetCollege","Delbert_Redfield",17
"OlivetCollege","Diangelo_Carlton",24
"OlivetCollege","Eldridge_Mason",28
"OlivetCollege","Griffin_Lewis",19
"OlivetCollege","Jalen_Adams",29
"OlivetCollege","John_Mcadoo",27
"OlivetCollege","Kylen_Brown",5
"OlivetCollege","Mike_Williams",8
"OlivetCollege","Quintin_Way",18
"OlivetCollege","Sirafino_Davis",23
"Rose-Hulman","Charlie_Aimone",27
"Rose-Hulman","Eli_Combs",26
"Rose-Hulman","Jacob_Back",24
"Rose-Hulman","John_Czarnecki",27
"Rose-Hulman","Joshua_Richey",6
"Rose-Hulman","JT_Whitaker",22
"Rose-Hulman","Kyle_Steckel",25
"Rose-Hulman","Luke_Callahan",11
"Rose-Hulman","Michael_Lake",26
"Rose-Hulman","Nick_McGrail",27
"Rose-Hulman","Ryuji_Aoki",27
"Rose-Hulman","Stephen_Schueth",27
